0,Nome da UC,Categoria,CH – Total,Pré-Requisitos,Semestre,,
1,Álgebra Linear,Eletiva,72,Geometria Analítica,IMPAR,,
2,Álgebra Linear Computacional,Eletiva,72,Cálculo Numérico,IMPAR,,
3,Álgebra Linear II,Eletiva,72,Álgebra Linear,nan,,
4,Algoritmos e Estruturas de Dados I,Eletiva,72,Lógica de Programação,nan,,
5,Algoritmos e Estruturas de Dados II,Eletiva,72,Algoritmos e Estruturas de Dados I,IMPAR,,
6,Algoritmos em Bioinformática,Interdisciplinar,72,Lógica de Programação,nan,,
7,"Alteridade e Diversidade no Brasil: Implicações para Política de Ciência e
Tecnologia",Interdisciplinar,36,Não há,nan,,
8,Análise de Investimentos e Riscos,Interdisciplinar,72,Cálculo em Uma Variável,nan,,
9,Análise de Sinais,Eletiva,72,Séries e Equações Diferenciais Ordinárias,IMPAR,,
10,Análise do Rn,Eletiva,72,Cálculo em Várias Variáveis; Análise Real I,nan,,
11,Análise Multivariada,Eletiva,72,Inferência e Análise de Regressão; Probabilidade,nan,,
12,Análise Real I,Eletiva,72,Cálculo em Uma Variável,IMPAR,,
13,Análise Real II,Eletiva,72,Análise Real I,nan,,
14,Anatomia,Eletiva,36,Não há,nan,,
15,Aprendizado de Máquina e Reconhecimento de Padrões,Eletiva,72,Probabilidade e Estatística; Lógica de Programação,nan,,
16,Arquitetura e Organização de Computadores,Eletiva,72,Circuitos Digitais,nan,,
17,Aspectos de Implementação de Banco de Dados,Eletiva,72,Banco de Dados,IMPAR,,
18,Avanços em Engenharia Biomédica,Eletiva,36,Não há,IMPAR,,
19,Banco de Dados,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
20,Bioengenharia,Eletiva,72,Fisiologia Humana,IMPAR,,
21,Bioestatística,Interdisciplinar,72,Cálculo em Uma Variável,nan,,
22,Bioética e Biossegurança,Interdisciplinar,36,Não há,IMPAR,,
23,Biofísica,Eletiva,72,Não há,IMPAR,,
24,Bioinformática Avançada,Eletiva,72,Introdução à Bioinformática,nan,,
25,Biologia do Desenvolvimento,Eletiva,36,Biologia Molecular do Gene,IMPAR,,
26,Biologia Estrutural,Eletiva,72,Bioquímica I,nan,,
27,Biologia Geral,Eletiva,72,Não há,nan,,
28,Biologia Molecular da Célula,Eletiva,72,Fundamentos de Biologia Moderna,IMPAR,,
29,Biologia Molecular do Gene,Eletiva,72,Fundamentos de Biologia Moderna,nan,,
30,Biomateriais,Interdisciplinar,36,Química Geral,IMPAR,,
