Nome da UC,Categoria,CH – Total,Pré-Requisitos,Some Text
Álgebra Linear,Eletiva,72,Geometria Analítica,Some Text
Álgebra Linear Computacional,Eletiva,72,Cálculo Numérico,Some Text
Álgebra Linear II,Eletiva,72,Álgebra Linear,Some Text
Algoritmos e Estruturas de Dados I,Eletiva,72,Lógica de Programação,Some Text
Algoritmos e Estruturas de Dados II,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Algoritmos em Bioinformática,Interdisciplinar,72,Lógica de Programação,Some Text
"Alteridade e Diversidade no Brasil: Implicações para Política de Ciência e
Tecnologia",Interdisciplinar,36,Não há,Some Text
Análise de Investimentos e Riscos,Interdisciplinar,72,Cálculo em Uma Variável,Some Text
Análise de Sinais,Eletiva,72,Séries e Equações Diferenciais Ordinárias,Some Text
Análise do Rn,Eletiva,72,Cálculo em Várias Variáveis; Análise Real I,Some Text
Análise Multivariada,Eletiva,72,Inferência e Análise de Regressão; Probabilidade,Some Text
Análise Real I,Eletiva,72,Cálculo em Uma Variável,Some Text
Análise Real II,Eletiva,72,Análise Real I,Some Text
Anatomia,Eletiva,36,Não há,Some Text
Aprendizado de Máquina e Reconhecimento de Padrões,Eletiva,72,Probabilidade e Estatística; Lógica de Programação,Some Text
Arquitetura e Organização de Computadores,Eletiva,72,Circuitos Digitais,Some Text
Aspectos de Implementação de Banco de Dados,Eletiva,72,Banco de Dados,Some Text
Avanços em Engenharia Biomédica,Eletiva,36,Não há,Some Text
Banco de Dados,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Bioengenharia,Eletiva,72,Fisiologia Humana,Some Text
Bioestatística,Interdisciplinar,72,Cálculo em Uma Variável,Some Text
Bioética e Biossegurança,Interdisciplinar,36,Não há,Some Text
Biofísica,Eletiva,72,Não há,Some Text
Bioinformática Avançada,Eletiva,72,Introdução à Bioinformática,Some Text
Biologia do Desenvolvimento,Eletiva,36,Biologia Molecular do Gene,Some Text
Biologia Estrutural,Eletiva,72,Bioquímica I,Some Text
Biologia Geral,Eletiva,72,Não há,Some Text
Biologia Molecular da Célula,Eletiva,72,Fundamentos de Biologia Moderna,Some Text
Biologia Molecular do Gene,Eletiva,72,Fundamentos de Biologia Moderna,Some Text
Biomateriais,Interdisciplinar,36,Química Geral,Some Text
Biomecânica,Eletiva,72,Sistemas Mecânicos.,Some Text
Bioquímica Analítica,Eletiva,72,Bioquímica I,Some Text
Bioquímica I,Eletiva,72,Fundamentos de Biologia Moderna,Some Text
Bioquímica II,Eletiva,72,Bioquímica I,Some Text
Biossensores,Eletiva,72,"QuímicaGeral;FenômenosEletromagnéticos;FundamentosdeBiologia
Moderna",Some Text
Biotecnologia Ambiental I,Eletiva,72,Não há,Some Text
Biotecnologia Ambiental II,Eletiva,72,Biotecnologia Ambiental I,Some Text
Biotecnologia Animal,Eletiva,72,Não há,Some Text
Biotecnologia de Energias Renováveis I,Eletiva,72,Não há,Some Text
Biotecnologia de Energias Renováveis II,Eletiva,72,Biotecnologia de energias renováveis II,Some Text
Biotecnologia Vegetal,Eletiva,72,Botânica e Fisiologia Vegetal,Some Text
Botânica e Fisiologia Vegetal,Eletiva,72,Não há,Some Text
Cálculo em Uma Variável,Fixa,108,Não há,Some Text
Cálculo em Várias Variáveis,Eletiva,72,Cálculo em Uma Variável; Geometria Analítica,Some Text
Cálculo Numérico,Eletiva,72,Cálculo em Uma Variável;  Geometria Analítica,Some Text
Cálculo Variacional,Eletiva,72,Séries e Equações Diferenciais Ordinárias; Cálculo em Várias Variáveis,Some Text
Cerâmicas Refratárias,Eletiva,36,Materiais Cerâmicos,Some Text
"Cidadania, Ciência e Polêmica",Eletiva,72,Não há,Some Text
Ciência e Tecnologia dos Materiais,Eletiva,72,Química Geral,Some Text
"Ciência, Tecnologia e Sociedade",Fixa,36,Não há,Some Text
"Ciência, Tecnologia, Sociedade e Ambiente",Fixa,36,Não há,Some Text
Circuitos Digitais,Eletiva,72,Não há,Some Text
Circuitos Elétricos I,Eletiva,72,Não há,Some Text
Circuitos Elétricos II,Eletiva,72,Circuitos Elétricos I; Fenômenos Eletromagnéticos,Some Text
Classificação de Sinais Biológicos,Eletiva,36,Lógica de Programação; Análise de Sinais,Some Text
Códigos Corretores de Erros,Interdisciplinar,72,Álgebra Linear,Some Text
Combinatória Enumerativa,Eletiva,72,Matemática Discreta,Some Text
Compiladores,Eletiva,72,Linguagens Formais e Autômatos,Some Text
Computação Bioinspirada,Interdisciplinar,72,Algoritmos e Estrutura de Dados I,Some Text
Computação Gráfica,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Controle de Sistemas Dinâmicos,Eletiva,72,Séries e Equações Diferenciais Ordinárias; Análise de Sinais,Some Text
Corrosão e Degradação de Materiais,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Cultura Digital,Eletiva,72,Não há,Some Text
Cultura dos Jogos Digitais,Interdisciplinar,36,Não há,Some Text
Desenho Técnico Assistido por Computador,Eletiva,36,Desenho Técnico Básico,Some Text
Desenho Técnico Básico,Eletiva,36,Não há,Some Text
Desenvolvimento de Aplicações Robóticas,Eletiva,72,Algoritmos e Estrutura de Dados I,Some Text
"Direitos Humanos, Multiculturalismo e C&T",Interdisciplinar,36,Não há,Some Text
Ecologia Avançada,Eletiva,72,Introdução à Ecologia,Some Text
Econometria,Eletiva,72,"Cálculo em Várias Variáveis, Probabilidade e Estatística",Some Text
Economia Matemática,Interdisciplinar,72,Cálculo em Uma Variável,Some Text
Economia Monetária e Bancos,Eletiva,36,Cálculo em Várias Variáveis; Probabilidade e Estatística,Some Text
"Economia, Sociedade e Ambiente",Interdisciplinar,36,Não há,Some Text
Elaboração de Trabalhos Científicos e Tecnológicos em Computação,Eletiva,36,Não há,Some Text
Elementos de Álgebra,Eletiva,72,Não há,Some Text
Eletrônica Avançada,Eletiva,72,Circuitos Elétricos II,Some Text
Empreendedorismo em Biotecnologia,Interdisciplinar,36,Não há,Some Text
Engenharia Bioquímica I,Eletiva,72,Fundamentos de Engenharia Bioquímica; Microbiologia Geral,Some Text
Engenharia Bioquímica II,Eletiva,72,Engenharia Bioquímica I,Some Text
Engenharia Cerâmica,Eletiva,72,Processamento de Materiais Cerâmicos,Some Text
Engenharia Clínica Hospitalar Aplicada,Eletiva,72,Não há,Some Text
Engenharia de Software,Eletiva,72,Programação Orientada a Objetos,Some Text
Engenharia Médica Aplicada,Eletiva,72,"Fisiologia Humana; Análise de Sinais; Imagens Biomédicas; Transdução de
Grandezas Biomédicas",Some Text
Engenharia Tecidual e Biofabricação,Eletiva,36,Fisiologia Humana,Some Text
Engenharia Tecidual e Medicina Regenerativa,Interdisciplinar,72,Biologia Molecular da Célula; Fisiologia Humana,Some Text
Ensaios de Materiais,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Equações Diferenciais Ordinárias,Eletiva,72,Álgebra Linear; Séries e Equações Diferenciais Ordinárias,Some Text
Equações Diferenciais Parciais,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferenciais Ordinárias,Some Text
Espaços Métricos,Eletiva,72,Cálculo em Várias Variáveis,Some Text
Estatística Matemática,Eletiva,72,Probabilidade,Some Text
Estrutura e Propriedades de Polímeros,Eletiva,72,Materiais Poliméricos,Some Text
Farmacologia Molecular,Eletiva,36,Não há,Some Text
Fenômenos de Transporte,Eletiva,72,Séries e Equações Diferenciais Ordinárias; Mecânica Geral,Some Text
Fenômenos do Contínuo,Eletiva,72,Não há,Some Text
Fenômenos do Contínuo Experimental,Eletiva,36,Não Há,Some Text
Fenômenos Eletromagnéticos,Eletiva,72,Não há,Some Text
Fenômenos Eletromagnéticos Experimental,Eletiva,36,Não há,Some Text
Fenômenos Mecânicos,Fixa,72,Não há,Some Text
Fenômenos Mecânicos Experimental,Eletiva,36,Não há,Some Text
Física Geral,Eletiva,72,Fenômenos Mecânicos,Some Text
Física Moderna,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos",Some Text
Física Moderna Experimental,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos Experimental",Some Text
Fisiologia Experimental,Eletiva,72,Fisiologia Humana,Some Text
