Ano,,Série /,,Código,,,,Carga,
"",Sem,,Turno Turma,,Unidade Curricular,Grupo,Categoria Faltas Freq.% Créd,,Conceito Situação
Letivo,,Termo,,UC,,,,Horária,
"",,,,,FUNDAMENTOS DE BIOLOGIA,,,,
2020,1,1,I IB,5703,,UNIDADE CURRICULAR FIXA,FIXAS 0 4,72,- CUMPRIDO
"",,,,,MODERNA,,,,
"",,,,,"CIÊNCIA, TECNOLOGIA E",,,,
2020,1,1,I IC,2672,,UNIDADE CURRICULAR FIXA,FIXAS 0 2,36,- CUMPRIDO
"",,,,,SOCIEDADE,,,,
2020,1,1,I IC,5702,CÁLCULO EM UMA VARIÁVEL,UNIDADE CURRICULAR FIXA,FIXAS 0 6,108,- CUMPRIDO
2020,1,1,I IC,7684,LABORATÓRIO DE MATEMÁTICA,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 2,36,- CUMPRIDO
2020,1,1,I IC,2649,LÓGICA DE PROGRAMAÇÃO,UNIDADE CURRICULAR FIXA,FIXAS 0 4,72,- CUMPRIDO
2020,1,1,I IC,5704,QUÍMICA GERAL,UNIDADE CURRICULAR FIXA,FIXAS 0 4,72,- CUMPRIDO
"",,,,,ALGORITMOS E ESTRUTURAS DE,,,,
2020,2,2,I I,2832,,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 4,72,- CUMPRIDO
"",,,,,DADOS I,,,,
2020,2,2,I IA,4369,FENÔMENOS MECÂNICOS,UNIDADE CURRICULAR FIXA,FIXAS 0 4,72,- CUMPRIDO
2020,2,2,I IA,2201,MATEMÁTICA DISCRETA,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 4,72,- CUMPRIDO
"",,,,,SÉRIES E EQUAÇÕES DIFERENCIAIS,,,,
2020,2,2,I IA,4328,,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 4,72,- CUMPRIDO
"",,,,,ORDINÁRIAS,,,,
2020,2,2,I IB,5900,DESENHO TÉCNICO BÁSICO,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 2,36,- CUMPRIDO
2020,2,2,I IB,2650,GEOMETRIA ANALÍTICA,UNIDADE CURRICULAR ELETIVA,ELETIVAS 0 4,72,- CUMPRIDO
"",,,,,"CIÊNCIA, TECNOLOGIA, SOCIEDADE",,,,
2020,2,2,I IC,5870,,UNIDADE CURRICULAR FIXA,FIXAS 0 2,36,- CUMPRIDO
"",,,,,E AMBIENTE,,,,
2021,1,3,I,IA,2833,"ALGORITMOS E ESTRUTURAS DE
DADOS II",UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IA,5414,ALGORITMOS EM BIOINFORMÁTICA,"UNIDADE CURRICULAR ELETIVA
INTERDISCIPLINAR",ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IA,2475,ÁLGEBRA LINEAR,UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IB,3518,CIRCUITOS DIGITAIS,UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IB,5359,CÁLCULO EM VÁRIAS VARIÁVEIS,UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IB,4348,FENÔMENOS DO CONTÍNUO,UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,1,3,I,IC,2609,PROBABILIDADE E ESTATÍSTICA,"UNIDADE CURRICULAR ELETIVA
INTERDISCIPLINAR",ELETIVAS,0,,4,72,-,CUMPRIDO
2021,2,4,I,I,3579,"PROJETO E ANÁLISE DE ALGORITMOS",UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,2,4,I,I,6169,"TÓPICOS EM TECNOLOGIA DA
COMPUTAÇÃO II",UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,2,4,N,N,3519,"ARQUITETURA E ORGANIZAÇÃO DE
COMPUTADORES",UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
2021,2,4,N,N,4770,MECÂNICA GERAL,UNIDADE CURRICULAR ELETIVA,ELETIVAS,0,,4,72,-,CUMPRIDO
